abnormal adipose tissue morphology|adipose tissue phenotype
abnormal dopamine level|abnormal catecholamine level
increased dopamine level|abnormal dopamine level
abnormal somatosensory cortex physiology|abnormal nervous system physiology
reduced nmda receptor mediated synaptic activity in barrel cortex|abnormal nmda-mediated synaptic currents
reduced nmda receptor mediated synaptic activity in barrel cortex|abnormal somatosensory cortex physiology
abnormal cerebrospinal fluid production|abnormal nervous system physiology
increased cerebrospinal fluid production|abnormal cerebrospinal fluid production
decreased cerebrospinal fluid production|abnormal cerebrospinal fluid production
hemorrhage|abnormal blood circulation
intracranial hemorrhage|abnormal nervous system physiology
intracranial hemorrhage|internal hemorrhage
intracerebral hemorrhage|intracranial hemorrhage
intraventricular hemorrhage|intracerebral hemorrhage
abnormal reproductive system physiology|reproductive system phenotype
reduced fertility|abnormal fertility/fecundity
reduced male fertility|abnormal male reproductive system physiology
reduced male fertility|reduced fertility
reduced female fertility|abnormal female reproductive system physiology
reduced female fertility|reduced fertility
infertility|abnormal fertility/fecundity
male infertility|abnormal male reproductive system physiology
male infertility|infertility
female infertility|abnormal female reproductive system physiology
female infertility|infertility
abnormal estrous cycle|abnormal ovulation cycle
abnormal ovulation|abnormal female reproductive system physiology
abnormal gametogenesis|abnormal reproductive system morphology
abnormal meiosis|abnormal gametogenesis
abnormal oogenesis|abnormal gametogenesis
abnormal spermiogenesis|abnormal spermatogenesis
abnormal litter size|abnormal fertility/fecundity
increased litter size|abnormal litter size
decreased litter size|abnormal litter size
abnormal sexual maturation|abnormal secondary sex determination
delayed sexual maturation|abnormal sexual maturation
secondary sex reversal|sex reversal
secondary sex reversal|abnormal secondary sex determination
testis hypoplasia|small testis
abnormal lung volume|abnormal respiration
abnormal respiration|abnormal respiratory system physiology
abnormal pancreas morphology|abnormal gland morphology
bronchoconstriction|abnormal respiratory mechanics
abnormal mucociliary clearance|abnormal respiratory system physiology
vesicoureteral reflux|abnormal kidney physiology
abnormal respiratory sounds|abnormal respiration
abnormal breathing pattern|abnormal respiratory function
increased airway responsiveness|abnormal airway responsiveness
respiratory failure|abnormal respiration
respiratory distress|abnormal breathing pattern
hypopnea|abnormal breathing pattern
apnea|abnormal breathing pattern
emphysema|abnormal pulmonary acinus morphology
emphysema|abnormal respiratory system physiology
abnormal reflex|abnormal sensory capabilities/reflexes/nociception
abnormal reflex|abnormal involuntary movement
abnormal hearing physiology|abnormal ear physiology
deafness|impaired hearing
abnormal touch/ nociception|integument phenotype
abnormal touch/ nociception|abnormal sensory capabilities/reflexes/nociception
abnormal pain threshold|abnormal touch/ nociception
increased thermal nociceptive threshold|hypoalgesia
increased thermal nociceptive threshold|abnormal thermal nociception
abnormal chemically-elicited antinociception|abnormal pain threshold
increased chemically-elicited antinociception|abnormal chemically-elicited antinociception
decreased chemically-elicited antinociception|abnormal chemically-elicited antinociception
abnormal olfactory system physiology|taste/olfaction phenotype
abnormal olfaction|abnormal olfactory system physiology
abnormal gustatory system physiology|taste/olfaction phenotype
abnormal taste sensitivity|abnormal gustatory system physiology
alcohol preference|abnormal alcohol consumption
alcohol preference|preference for addictive substance
alcohol preference|abnormal liquid preference
cocaine preference|abnormal cocaine consumption
cocaine preference|preference for addictive substance
abnormal blinking|abnormal reflex
increased blinking frequency|abnormal blinking
decreased blinking frequency|abnormal blinking
photosensitivity|abnormal homeostasis
photosensitivity|abnormal eye physiology
blindness|abnormal vision
miotic pupils|abnormal pupil morphology
tumorigenesis|mammalian phenotype
increased cellular sensitivity to gamma-irradiation|increased cellular sensitivity to ionizing radiation
preneoplasia|altered tumor susceptibility
increased trichofolliculoma incidence|increased skin hamartoma incidence
increased pilomatricoma incidence|increased skin tumor incidence
increased papilloma incidence|increased classified tumor incidence
epithelioid cysts|abnormal skin condition
ovary cysts|abnormal ovary morphology
increased malignant tumor incidence|increased classified tumor incidence
abnormal tumor incidence|altered tumor susceptibility
increased tumor incidence|abnormal tumor incidence
increased incidence of induced tumors|abnormal incidence of induced tumors
increased incidence of induced tumors|increased tumor incidence
increased b cell derived lymphoma incidence|increased lymphoma incidence
increased t cell derived lymphoma incidence|increased thymus tumor incidence
increased t cell derived lymphoma incidence|increased lymphoma incidence
increased leukemia incidence|increased hemolymphoid system tumor incidence
increased leukemia incidence|increased classified tumor incidence
increased lung adenocarcinoma incidence|increased adenocarcinoma incidence
increased lung adenocarcinoma incidence|increased lung non-small cell carcinoma incidence
increased neurofibrosarcoma incidence|increased fibrosarcoma incidence
increased neurofibrosarcoma incidence|increased nervous system tumor incidence
increased adrenal gland tumor incidence|increased gland tumor incidence
increased sarcoma incidence|increased malignant tumor incidence
increased malignant triton tumor incidence|increased malignant tumor incidence
increased leiomyosarcoma incidence|increased sarcoma incidence
increased leiomyosarcoma incidence|increased muscle tumor incidence
increased rhabdomyosarcoma incidence|increased sarcoma incidence
increased rhabdomyosarcoma incidence|increased muscle tumor incidence
increased fibrohistocytoma incidence|increased fibroma incidence
increased fibrohistocytoma incidence|increased skin tumor incidence
increased carcinoma incidence|increased malignant tumor incidence
increased neuroblastoma incidence|increased nervous system tumor incidence
increased neuroblastoma incidence|increased blastoma incidence
increased pituitary adenoma incidence|increased pituitary gland tumor incidence
increased pituitary adenoma incidence|increased adenoma incidence
increased colon hamartoma incidence|increased hamartoma incidence
increased colon hamartoma incidence|increased colon tumor incidence
increased colonic adenoma incidence|increased adenoma incidence
increased renal cystadenoma incidence|increased cystadenoma incidence
increased renal cystadenoma incidence|increased kidney tumor incidence
increased hepatic hemangioma incidence|increased liver tumor incidence
increased hepatic hemangioma incidence|increased hemangioma incidence
increased lung adenoma incidence|increased lung tumor incidence
increased lung adenoma incidence|abnormal lung adenoma incidence
increased lung adenoma incidence|increased adenoma incidence
increased extremity angiosarcoma incidence|increased hemangiosarcoma incidence
increased pheochromocytoma incidence|increased adrenal gland tumor incidence
increased skin papilloma incidence|increased papilloma incidence
increased skin papilloma incidence|increased skin tumor incidence
decreased tumor incidence|abnormal tumor incidence
decreased incidence of induced tumors|decreased tumor incidence
decreased incidence of induced tumors|abnormal incidence of induced tumors
neonatal lethality|perinatal lethality
abnormal seminal vesicle morphology|abnormal internal male genitalia morphology
abnormal seminal vesicle morphology|abnormal male accessory sex gland morphology
abnormal skin morphology|integument phenotype
abnormal aggression-related behavior|abnormal emotion/affect behavior
abnormal associative learning|abnormal learning/memory/conditioning
abnormal learning/memory/conditioning|abnormal behavior
seizures|abnormal nervous system physiology
seizures|abnormal behavior
abnormal fear/anxiety-related behavior|abnormal emotion/affect behavior
abnormal motor capabilities/coordination/movement|abnormal behavior
abnormal sensory capabilities/reflexes/nociception|abnormal behavior
abnormal parental behavior|abnormal social/conspecific interaction
abnormal consumption behavior|abnormal behavior
abnormal hair growth|abnormal coat appearance
abnormal hair texture|abnormal coat appearance
abnormal coat/hair pigmentation|abnormal coat appearance
abnormal coat/hair pigmentation|pigmentation phenotype
abnormal glucose homeostasis|abnormal homeostasis
increased circulating insulin level|abnormal circulating insulin level
prenatal lethality|preweaning lethality
prenatal lethality|abnormal survival
perinatal lethality|lethality during fetal growth through weaning
perinatal lethality|abnormal survival
postnatal lethality|lethality during fetal growth through weaning
postnatal lethality|abnormal survival
premature death|abnormal survival
abnormal developmental patterning|abnormal embryogenesis/ development
abnormal embryonic tissue morphology|abnormal embryogenesis/ development
abnormal extraembryonic tissue morphology|abnormal embryogenesis/ development
abnormal embryonic growth/weight/body size|abnormal prenatal growth/weight/body size
abnormal postnatal growth/weight/body size|growth/size/body region phenotype
abnormal vision|abnormal eye physiology
abnormal eye morphology|vision/eye phenotype
abnormal skin pigmentation|abnormal skin coloration
abnormal skin pigmentation|pigmentation phenotype
abnormal vibrissa morphology|abnormal skin adnexa morphology
abnormal tooth morphology|abnormal mouth morphology
abnormal ear morphology|hearing/vestibular/ear phenotype
abnormal muscle physiology|muscle phenotype
abnormal muscle morphology|muscle phenotype
abnormal limb morphology|limbs/digits/tail phenotype
abnormal digit morphology|abnormal autopod morphology
abnormal tail morphology|limbs/digits/tail phenotype
abnormal skeleton development|abnormal skeleton morphology
abnormal axial skeleton morphology|abnormal skeleton morphology
abnormal limb bone morphology|abnormal appendicular skeleton morphology
abnormal limb bone morphology|abnormal limb morphology
abnormal craniofacial bone morphology|abnormal craniofacial morphology
abnormal craniofacial bone morphology|abnormal axial skeleton morphology
abnormal lipid homeostasis|abnormal homeostasis
dipsosis|abnormal liquid preference
abnormal definitive hematopoiesis|abnormal hemopoiesis
abnormal cardiovascular system morphology|cardiovascular system phenotype
abnormal blood circulation|abnormal cardiovascular system physiology
abnormal respiratory system morphology|respiratory system phenotype
abnormal respiratory system physiology|respiratory system phenotype
abnormal kidney morphology|abnormal renal/urinary system morphology
abnormal kidney physiology|abnormal renal/urinary system physiology
abnormal hepatobiliary system morphology|liver/biliary system phenotype
abnormal hepatobiliary system physiology|liver/biliary system phenotype
abnormal b cell differentiation|abnormal b cell morphology
abnormal b cell differentiation|abnormal lymphopoiesis
abnormal t cell differentiation|abnormal t cell morphology
abnormal t cell differentiation|abnormal lymphopoiesis
abnormal hypersensitivity reaction|abnormal immune system physiology
abnormal neural tube morphology/development|abnormal embryonic tissue morphology
abnormal neural tube morphology/development|abnormal nervous system development
abnormal brain morphology|abnormal nervous system morphology
abnormal reproductive system morphology|reproductive system phenotype
abnormal fertility/fecundity|abnormal reproductive system physiology
abnormal gland morphology|endocrine/exocrine gland phenotype
abnormal gland physiology|endocrine/exocrine gland phenotype
altered tumor susceptibility|tumorigenesis
other aberrant phenotype|other phenotype
no abnormal phenotype detected|normal phenotype
abnormal gastrulation movements|abnormal gastrulation
decreased brain weight|decreased brain size
decreased brain weight|abnormal brain weight
increased brain weight|increased brain size
increased brain weight|abnormal brain weight
abnormal outer ear morphology|abnormal craniofacial morphology
abnormal outer ear morphology|abnormal head morphology
abnormal outer ear morphology|abnormal ear morphology
abnormal astrocyte morphology|abnormal cns glial cell morphology
gliosis|abnormal glial cell morphology
abnormal innervation|abnormal nervous system morphology
abnormal fibula morphology|abnormal limb long bone morphology
abnormal fibula morphology|abnormal hindlimb zeugopod morphology
small heart|abnormal heart size
abnormal myocardial trabeculae morphology|abnormal cardiac muscle tissue morphology
abnormal myocardial trabeculae morphology|abnormal myocardium layer morphology
disorganized myocardium|abnormal myocardium layer morphology
abnormal artery morphology|abnormal blood vessel morphology
hydrops fetalis|edema
minimal clonic seizures|abnormal seizure response to electrical stimulation
maximal tonic hindlimb extension seizures|abnormal seizure response to electrical stimulation
psychomotor seizures|abnormal seizure response to electrical stimulation
absent corpus callosum|abnormal corpus callosum morphology
abnormal brain commissure morphology|abnormal brain white matter morphology
abnormal brain commissure morphology|abnormal nervous system tract morphology
abnormal brain ventricular system morphology|abnormal brain morphology
abnormal neurotransmitter level|abnormal synaptic transmission
abnormal cns synaptic transmission|abnormal synaptic transmission
abnormal long term potentiation|abnormal cns synaptic transmission
abnormal germ cell morphology|abnormal gametogenesis
decreased germ cell number|abnormal germ cell morphology
abnormal sex determination|abnormal reproductive system morphology
abnormal primary sex determination|abnormal sex determination
abnormal secondary sex determination|abnormal sex determination
true hermaphroditism|abnormal primary sex determination
streak gonad|abnormal primary sex determination
streak gonad|abnormal reproductive system development
abnormal seminiferous tubule morphology|abnormal testis morphology
small lymph nodes|abnormal lymph node size
increased lymph node number|abnormal lymph node number
decreased lymph node number|abnormal lymph node number
large lymphoid organs|abnormal lymph organ size
abnormal lymph organ size|abnormal immune system organ morphology
lymphoid hypoplasia|small lymphoid organs
abnormal spleen size|abnormal spleen morphology
abnormal spleen size|abnormal lymph organ size
abnormal spleen capsule morphology|abnormal spleen morphology
abnormal spleen trabecular vein morphology|abnormal spleen morphology
neurodegeneration|abnormal nervous system morphology
abnormal primitive streak formation|abnormal primitive streak morphology
abnormal primitive streak morphology|abnormal gastrulation
abnormal nose morphology|abnormal facial morphology
abnormal nose morphology|abnormal respiratory system morphology
abnormal pharynx morphology|abnormal respiratory system morphology
abnormal external nares morphology|abnormal nose morphology
abnormal internal nares morphology|abnormal nose morphology
abnormal nasal cavity morphology|abnormal nose morphology
abnormal nasal mucosa morphology|abnormal respiratory mucosa morphology
abnormal nasal mucosa morphology|abnormal nose morphology
abnormal nasal septum morphology|abnormal nose morphology
abnormal paranasal sinus morphology|abnormal facial morphology
abnormal paranasal sinus morphology|abnormal respiratory system morphology
abnormal laryngeal mucosa goblet cell morphology|abnormal laryngeal mucosa morphology
abnormal olfactory mucosa morphology|abnormal nasal mucosa morphology
abnormal vomeronasal organ morphology|abnormal somatic sensory system morphology
abnormal vomeronasal organ morphology|abnormal nasal septum morphology
abnormal turbinate morphology|abnormal viscerocranium morphology
abnormal turbinate morphology|abnormal nose morphology
abnormal ethmoid sinus morphology|abnormal paranasal sinus morphology
abnormal frontal sinus morphology|abnormal paranasal sinus morphology
abnormal maxillary sinus morphology|abnormal paranasal sinus morphology
abnormal sphenoid sinus morphology|abnormal paranasal sinus morphology
abnormal larynx morphology|abnormal respiratory system morphology
abnormal hypopharynx morphology|abnormal pharynx morphology
abnormal nasopharynx morphology|abnormal pharynx morphology
abnormal oropharynx morphology|abnormal pharynx morphology
abnormal pharyngeal muscle morphology|abnormal pharynx morphology
abnormal pharyngeal muscle morphology|abnormal skeletal muscle morphology
reproductive system inflammation|abnormal reproductive system physiology
reproductive system inflammation|increased inflammatory response
abnormal glottis morphology|abnormal larynx morphology
abnormal laryngeal cartilage morphology|abnormal cartilage morphology
abnormal laryngeal cartilage morphology|abnormal larynx morphology
abnormal arytenoid cartilage morphology|abnormal laryngeal cartilage morphology
abnormal cricoid cartilage morphology|abnormal laryngeal cartilage morphology
abnormal thyroid cartilage morphology|abnormal laryngeal cartilage morphology
abnormal laryngeal mucosa morphology|abnormal respiratory mucosa morphology
abnormal laryngeal mucosa morphology|abnormal larynx morphology
abnormal nasal mucosa goblet cell morphology|abnormal nasal mucosa morphology
abnormal laryngeal muscle morphology|abnormal skeletal muscle morphology
abnormal laryngeal muscle morphology|abnormal larynx morphology
abnormal bronchus morphology|abnormal respiratory conducting tube morphology
abnormal left major bronchus morphology|abnormal bronchus morphology
abnormal right major bronchus morphology|abnormal bronchus morphology
abnormal bronchiole morphology|abnormal respiratory conducting tube morphology
abnormal terminal bronchiole morphology|abnormal bronchiole morphology
muscular atrophy|abnormal muscle morphology
abnormal pulmonary alveolus morphology|abnormal pulmonary acinus morphology
abnormal pulmonary alveolar duct morphology|abnormal pulmonary acinus morphology
abnormal nervous system electrophysiology|abnormal nervous system physiology
abnormal pulmonary alveolus epithelial cell morphology|abnormal pulmonary alveolar parenchyma morphology
abnormal pulmonary alveolus epithelial cell morphology|abnormal pulmonary alveolus epithelium morphology
abnormal type i pneumocyte morphology|abnormal pulmonary alveolus epithelial cell morphology
abnormal type ii pneumocyte morphology|abnormal pulmonary alveolus epithelial cell morphology
abnormal lung interstitium morphology|abnormal lung morphology
abnormal respiratory mucosa morphology|abnormal respiratory epithelium morphology
abnormal diaphragm morphology|abnormal hypaxial muscle morphology
abnormal intercostal muscle morphology|abnormal hypaxial muscle morphology
abnormal respiratory mucosa goblet cell morphology|abnormal respiratory mucosa morphology
abnormal trachea morphology|abnormal respiratory system morphology
abnormal tracheal smooth muscle morphology|abnormal smooth muscle morphology
abnormal tracheal smooth muscle morphology|abnormal trachea morphology
abnormal tracheal ciliated epithelium morphology|abnormal trachea morphology
abnormal tracheal ciliated epithelium morphology|abnormal respiratory epithelium morphology
cryptorchism|abnormal testis morphology
abnormal gestational length|abnormal female reproductive system physiology
long gestation period|abnormal gestational length
short gestation period|abnormal gestational length
abnormal pulmonary circulation|abnormal blood circulation
abnormal pulmonary circulation|abnormal respiratory system physiology
aspiration|abnormal respiratory mechanics
abnormal forced expiratory flow rates|abnormal respiratory function
abnormal total lung capacity|abnormal lung volume
abnormal total lung capacity|abnormal respiratory mechanics
abnormal functional residual capacity|abnormal lung volume
abnormal residual volume|abnormal lung volume
abnormal vital capacity|abnormal lung volume
decreased susceptibility to hepatic steatosis|abnormal liver morphology
abnormal inspiratory capacity|abnormal lung volume
abnormal inspiratory reserve volume|abnormal lung volume
abnormal tidal volume|abnormal lung volume
abnormal respiratory mechanics|abnormal respiration
anoxia|abnormal oxygen level
hypercapnia|abnormal carbon dioxide level
hyperoxia|abnormal oxygen level
hyperventilation|increased pulmonary ventilation
hypoventilation|decreased pulmonary ventilation
abnormal respiratory transport|abnormal respiration
decreased susceptibility to hyperlipidemia|abnormal lipid homeostasis
abnormal alveolocapillary membrane morphology|abnormal pulmonary interalveolar septum morphology
abnormal pulmonary diffusing capacity|abnormal pulmonary gas exchange
abnormal ventilation-perfusion ratio|abnormal pulmonary gas exchange
abnormal ventilation-perfusion ratio|abnormal pulmonary circulation
abnormal ventilation-perfusion ratio|abnormal pulmonary ventilation
abnormal respiratory function|abnormal respiration
abnormal airway resistance|abnormal respiratory function
abnormal airway resistance|abnormal respiratory mechanics
abnormal blood gas level|abnormal blood homeostasis
abnormal blood gas level|abnormal gas homeostasis
abnormal bronchial provocation|abnormal respiratory function
abnormal exercise endurance|abnormal metabolism
abnormal lung compliance|abnormal respiratory mechanics
abnormal airway responsiveness|abnormal bronchial provocation
decreased airway responsiveness|abnormal airway responsiveness
abnormal pulmonary gas exchange|abnormal respiratory transport
abnormal whole-body plethysmography|abnormal lung volume
abnormal pulmonary ventilation|abnormal respiratory mechanics
abnormal lymph node morphology|abnormal immune system organ morphology
abnormal axillary lymph node morphology|abnormal peripheral lymph node morphology
abnormal lymph node trabecula morphology|abnormal lymph node morphology
abnormal lymph node cortex morphology|abnormal lymph node morphology
abnormal lymph node b cell domain morphology|abnormal lymph node cortex morphology
abnormal lymph node primary follicle morphology|abnormal lymph node b cell domain morphology
abnormal lymph node secondary follicle morphology|abnormal lymph node b cell domain morphology
abnormal lymph node t cell domain morphology|abnormal lymph node cortex morphology
abnormal lymph node medulla morphology|abnormal lymph node morphology
abnormal afferent lymphatic vessel morphology|abnormal lymphatic vessel morphology
abnormal afferent lymphatic vessel morphology|abnormal lymph node morphology
abnormal efferent lymphatic vessel morphology|abnormal lymphatic vessel morphology
abnormal efferent lymphatic vessel morphology|abnormal lymph node morphology
abnormal cervical lymph node morphology|abnormal peripheral lymph node morphology
abnormal popliteal lymph node morphology|abnormal peripheral lymph node morphology
abnormal inguinal lymph node morphology|abnormal peripheral lymph node morphology
abnormal spleen trabecular artery morphology|abnormal spleen morphology
abnormal spleen trabecular artery morphology|abnormal systemic artery morphology
abnormal spleen red pulp morphology|abnormal spleen morphology
abnormal spleen white pulp morphology|abnormal spleen morphology
abnormal spleen periarteriolar lymphoid sheath morphology|abnormal spleen white pulp morphology
abnormal spleen germinal center morphology|abnormal spleen secondary b follicle morphology
abnormal spleen b cell corona morphology|abnormal spleen secondary b follicle morphology
abnormal spleen central arteriole morphology|abnormal spleen white pulp morphology
abnormal spleen marginal zone morphology|abnormal spleen white pulp morphology
abnormal spleen marginal sinus morphology|abnormal spleen white pulp morphology
abnormal thymus size|abnormal thymus morphology
abnormal thymus size|abnormal lymph organ size
abnormal thymus lobule morphology|abnormal thymus morphology
abnormal thymus capsule morphology|abnormal thymus morphology
abnormal thymus subcapsular epithelium morphology|abnormal thymus epithelium morphology
abnormal thymus trabecula morphology|abnormal thymus morphology
abnormal thymus cortex morphology|abnormal thymus lobule morphology
abnormal thymus medulla morphology|abnormal thymus lobule morphology
abnormal dendritic cell physiology|abnormal professional antigen presenting cell physiology
abnormal mucosa-associated lymphoid tissue morphology|abnormal immune system organ morphology
abnormal gut-associated lymphoid tissue morphology|abnormal immune system organ morphology
abnormal oropharyngeal lymphoid tissue morphology|abnormal mucosa-associated lymphoid tissue morphology
abnormal palatine tonsil morphology|abnormal oropharyngeal lymphoid tissue morphology
abnormal nasopharyngeal tonsil morphology|abnormal oropharyngeal lymphoid tissue morphology
abnormal lingual tonsillar tissue morphology|abnormal oropharyngeal lymphoid tissue morphology
abnormal tubal tonsil morphology|abnormal oropharyngeal lymphoid tissue morphology
abnormal peyer's patch epithelium morphology|abnormal intestinal epithelium morphology
abnormal peyer's patch epithelium morphology|abnormal peyer's patch morphology
abnormal peyer's patch follicle morphology|abnormal peyer's patch morphology
abnormal peyer's patch germinal center morphology|abnormal peyer's patch follicle morphology
abnormal peyer's patch t cell area morphology|abnormal peyer's patch follicle morphology
abnormal bronchus-associated lymphoid tissue morphology|abnormal immune system organ morphology
abnormal hematopoietic system morphology/development|hematopoietic system phenotype
abnormal bone marrow morphology|abnormal bone structure
abnormal bone marrow cell morphology/development|abnormal hematopoietic system morphology/development
abnormal pluripotent precursor cell morphology/development|abnormal embryonic tissue morphology
abnormal multipotent stem cell morphology|abnormal pluripotent precursor cell morphology/development
abnormal lymphopoiesis|abnormal leukopoiesis
abnormal lymphopoiesis|abnormal lymphocyte morphology
abnormal pre-b cell morphology|abnormal b cell morphology
increased intestinal adenoma incidence|increased gastrointestinal tumor incidence
increased intestinal adenoma incidence|increased adenoma incidence
respiratory system inflammation|increased inflammatory response
respiratory system inflammation|abnormal respiratory system physiology
increased susceptibility to infection|altered susceptibility to infection
abnormal double-negative t cell morphology|abnormal t cell differentiation
abnormal double-positive t cell morphology|abnormal t cell differentiation
abnormal double-positive t cell morphology|abnormal alpha-beta t cell morphology
decreased susceptibility to infection|altered susceptibility to infection
decreased susceptibility to viral infection|decreased susceptibility to infection
decreased susceptibility to viral infection|altered susceptibility to viral infection
decreased susceptibility to bacterial infection|decreased susceptibility to infection
decreased susceptibility to bacterial infection|altered susceptibility to bacterial infection
increased susceptibility to bacterial infection|altered susceptibility to bacterial infection
increased susceptibility to bacterial infection|increased susceptibility to infection
abnormal megakaryocyte progenitor cell morphology|abnormal myeloid cell morphology
abnormal megakaryocyte progenitor cell morphology|abnormal bone marrow cell morphology/development
abnormal myeloblast morphology/development|abnormal bone marrow cell morphology/development
abnormal neutrophil differentiation|abnormal neutrophil morphology
abnormal neutrophil differentiation|abnormal myeloblast morphology/development
abnormal neutrophil differentiation|abnormal granulocyte differentiation
abnormal proerythroblast morphology|abnormal erythroid lineage cell morphology
abnormal proerythroblast morphology|abnormal bone marrow cell morphology/development
abnormal megakaryocyte morphology|abnormal bone marrow hematopoietic cell morphology
abnormal megakaryocyte morphology|abnormal megakaryocyte progenitor cell morphology
increased susceptibility to viral infection|increased susceptibility to infection
increased susceptibility to viral infection|altered susceptibility to viral infection
abnormal innate immunity|abnormal immune system physiology
abnormal adaptive immunity|abnormal immune system physiology
abnormal cell-mediated immunity|abnormal immune system physiology
abnormal basophil morphology|abnormal granulocyte morphology
abnormal basophil morphology|abnormal myeloblast morphology/development
abnormal mast cell physiology|abnormal granulocyte physiology
abnormal reticulocyte morphology|abnormal erythroid lineage cell morphology
altered susceptibility to autoimmune disorder|autoimmune response
disproportionate dwarf|decreased body size
abnormal semicircular canal morphology|abnormal inner ear canal morphology
abnormal blood cell morphology/development|abnormal hematopoietic system morphology/development
abnormal cd4-positive, alpha beta t cell morphology|abnormal effector t cell morphology
abnormal cd4-positive, alpha beta t cell morphology|abnormal alpha-beta t cell morphology
abnormal t-helper 1 cell morphology|abnormal cd4-positive helper t cell morphology
abnormal t-helper 2 cell morphology|abnormal cd4-positive helper t cell morphology
abnormal effector t cell morphology|abnormal t cell morphology
abnormal cd8-positive, alpha-beta cytotoxic t cell morphology|abnormal alpha-beta t cell morphology
abnormal cd8-positive, alpha-beta cytotoxic t cell morphology|abnormal cd8-positive, alpha beta t cell morphology
abnormal plasma cell morphology|abnormal b cell morphology
abnormal memory b cell morphology|abnormal mature b cell morphology
abnormal granulocyte morphology|abnormal myeloid leukocyte morphology
abnormal granulocyte morphology|abnormal blood cell morphology
abnormal leukocyte physiology|abnormal adaptive immunity
abnormal leukocyte physiology|abnormal cell-mediated immunity
abnormal leukocyte physiology|abnormal blood cell physiology
abnormal leukocyte physiology|abnormal immune cell physiology
abnormal eosinophil differentiation|abnormal granulocyte differentiation
abnormal eosinophil differentiation|abnormal eosinophil morphology
abnormal t cell physiology|abnormal lymphocyte physiology
abnormal mononuclear cell differentiation|abnormal leukopoiesis
abnormal mononuclear cell differentiation|abnormal myeloblast morphology/development
abnormal mononuclear cell differentiation|abnormal cell differentiation
abnormal macrophage morphology|abnormal mononuclear phagocyte morphology
abnormal macrophage morphology|abnormal professional antigen presenting cell morphology
abnormal erythrocyte morphology|abnormal blood cell morphology
abnormal erythrocyte morphology|abnormal erythroid lineage cell morphology
abnormal lymph organ development|abnormal immune system organ morphology
abnormal macrophage physiology|abnormal innate immunity
abnormal macrophage physiology|abnormal professional antigen presenting cell physiology
abnormal macrophage physiology|abnormal leukocyte physiology
abnormal professional antigen presenting cell physiology|abnormal adaptive immunity
abnormal professional antigen presenting cell physiology|abnormal cell-mediated immunity
abnormal professional antigen presenting cell physiology|abnormal immune cell physiology
abnormal b lymphocyte antigen presentation|abnormal b cell physiology
abnormal b lymphocyte antigen presentation|abnormal antigen presentation
abnormal macrophage antigen presentation|abnormal macrophage physiology
abnormal macrophage antigen presentation|abnormal antigen presentation
abnormal dendritic cell antigen presentation|abnormal antigen presentation
abnormal dendritic cell antigen presentation|abnormal dendritic cell physiology
abnormal langerhans cell antigen presentation|abnormal langerhans cell physiology
abnormal langerhans cell antigen presentation|abnormal dendritic cell antigen presentation
abnormal b cell number|abnormal b cell morphology
abnormal b cell number|abnormal lymphocyte cell number
abnormal b cell number|abnormal mature b cell morphology
abnormal b cell physiology|abnormal lymphocyte physiology
abnormal b cell physiology|abnormal professional antigen presenting cell physiology
decreased immunoglobulin level|abnormal immunoglobulin level
increased immunoglobulin level|abnormal immunoglobulin level
abnormal granulocyte physiology|abnormal leukocyte physiology
abnormal neutrophil physiology|abnormal innate immunity
abnormal neutrophil physiology|abnormal granulocyte physiology
abnormal basophil physiology|abnormal granulocyte physiology
abnormal eosinophil physiology|abnormal granulocyte physiology
impaired neutrophil phagocytosis|abnormal neutrophil physiology
abnormal complement pathway|abnormal humoral immune response
abnormal complement pathway|abnormal innate immunity
impaired complement alternative pathway|abnormal complement pathway
impaired complement classical pathway|abnormal complement pathway
abnormal immunoglobulin level|abnormal humoral immune response
abnormal immunoglobulin level|abnormal b cell physiology
abnormal immunoglobulin level|abnormal immune serum protein physiology
decreased igd level|decreased immunoglobulin level
decreased igd level|abnormal igd level
decreased ige level|abnormal ige level
decreased ige level|decreased immunoglobulin level
increased igg level|abnormal igg level
increased igg level|increased immunoglobulin level
increased igm level|abnormal igm level
increased igm level|increased immunoglobulin level
increased iga level|abnormal iga level
increased iga level|increased immunoglobulin level
increased igd level|abnormal igd level
increased igd level|increased immunoglobulin level
increased ige level|abnormal ige level
increased ige level|increased immunoglobulin level
abnormal acute inflammation|abnormal inflammatory response
chronic inflammation|abnormal inflammatory response
granulomatous inflammation|chronic inflammation
abnormal histamine physiology|abnormal homeostasis
abnormal type i hypersensitivity reaction|abnormal adaptive immunity
abnormal type i hypersensitivity reaction|abnormal hypersensitivity reaction
abnormal type i hypersensitivity reaction|abnormal acute inflammation
abnormal type ii hypersensitivity reaction|abnormal adaptive immunity
abnormal type ii hypersensitivity reaction|abnormal hypersensitivity reaction
abnormal type ii hypersensitivity reaction|abnormal acute inflammation
abnormal type iii hypersensitivity reaction|abnormal adaptive immunity
abnormal type iii hypersensitivity reaction|abnormal hypersensitivity reaction
abnormal type iii hypersensitivity reaction|abnormal acute inflammation
abnormal type iv hypersensitivity reaction|abnormal adaptive immunity
abnormal type iv hypersensitivity reaction|abnormal cell-mediated immunity
abnormal type iv hypersensitivity reaction|abnormal hypersensitivity reaction
abnormal type iv hypersensitivity reaction|abnormal acute inflammation
brachyphalangia|abnormal phalanx morphology
brachyphalangia|decreased length of long bones
brachydactyly|abnormal digit morphology
